TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2023,3,2,16,0,11XX NOOTKA ST,Hastings-Sunrise,496992.099,5457928.1545
Theft from Vehicle,2023,4,13,10,59,12XX KAMLOOPS ST,Hastings-Sunrise,496017.8021,5457847.4634
Theft from Vehicle,2023,2,28,0,0,12XX NOOTKA ST,Hastings-Sunrise,496992.2464,5457899.4675
Theft from Vehicle,2023,2,3,2,20,14XX RENFREW ST,Hastings-Sunrise,496790.2236,5457683.0788
Theft from Vehicle,2023,1,30,2,11,16XX LILLOOET ST,Hastings-Sunrise,497162.7687,5457456.4195
Theft from Vehicle,2023,4,13,22,30,16XX NANAIMO ST,Hastings-Sunrise,495887.3029,5457516.2728
Theft from Vehicle,2023,3,10,16,0,17XX BOUNDARY RD,Hastings-Sunrise,498273.0478,5457350.9866
Theft from Vehicle,2023,4,12,8,15,17XX BOUNDARY RD,Hastings-Sunrise,498273.055,5457352.9689
Theft from Vehicle,2023,5,4,20,0,17XX CASSIAR ST,Hastings-Sunrise,497750.0532,5457348.454
Theft from Vehicle,2023,3,3,7,30,18XX KOOTENAY ST,Hastings-Sunrise,498089.7688,5457295.5508
Theft from Vehicle,2023,3,3,7,30,18XX KOOTENAY ST,Hastings-Sunrise,498101.7794,5457223.0777
Theft from Vehicle,2023,3,30,21,0,18XX RENFREW ST,Hastings-Sunrise,496785.7084,5457264.3718
Theft from Vehicle,2023,5,30,22,0,19XX RUPERT ST,Hastings-Sunrise,497558.7173,5457165.5003
Theft from Vehicle,2023,5,7,17,0,1XX KASLO ST,Hastings-Sunrise,496609.1027,5459010.2167
Theft from Vehicle,2023,1,20,10,0,1XX N RENFREW ST,Hastings-Sunrise,496800.3896,5459315.7364
Theft from Vehicle,2023,6,11,15,55,1XX N RENFREW ST,Hastings-Sunrise,496800.3896,5459315.7364
Theft from Vehicle,2023,5,4,18,0,20XX RENFREW ST,Hastings-Sunrise,496782.2126,5457040.354
Theft from Vehicle,2023,5,1,11,0,21XX CASSIAR ST,Hastings-Sunrise,497748.9482,5456977.5926
Theft from Vehicle,2023,6,1,8,50,24XX CAMBRIDGE ST,Hastings-Sunrise,495961.5492,5459328.041
Theft from Vehicle,2023,4,13,17,0,24XX CHARLES ST,Hastings-Sunrise,495885.6592,5457833.1013
Theft from Vehicle,2023,6,6,13,27,24XX DUNDAS ST,Hastings-Sunrise,495945.5299,5459110.738
Theft from Vehicle,2023,5,20,16,55,24XX E 3RD AVE,Hastings-Sunrise,495882.9736,5457203.4823
Theft from Vehicle,2023,3,22,9,6,24XX ETON ST,Hastings-Sunrise,495898.8438,5459438.8244
Theft from Vehicle,2023,6,11,23,0,24XX ETON ST,Hastings-Sunrise,495941.5454,5459447.905
Theft from Vehicle,2023,6,19,0,1,24XX ETON ST,Hastings-Sunrise,495946.8954,5459447.8933
Theft from Vehicle,2023,7,12,22,50,24XX FRANKLIN ST,Hastings-Sunrise,496023.3922,5458809.611
Theft from Vehicle,2023,2,24,22,0,24XX GRANT ST,Hastings-Sunrise,495895.7434,5457620.1199
Theft from Vehicle,2023,3,12,21,30,24XX LILLOOET ST,Hastings-Sunrise,497152.1092,5456595.3502
Theft from Vehicle,2023,7,13,1,30,24XX TRINITY ST,Hastings-Sunrise,495893.9586,5459659.2236
Theft from Vehicle,2023,6,29,23,0,24XX VENABLES ST,Hastings-Sunrise,495982.5733,5458214.2593
Theft from Vehicle,2023,2,26,19,0,25XX E 6TH AVE,Hastings-Sunrise,496088.7463,5456896.0133
Theft from Vehicle,2023,5,4,17,0,25XX E 7TH AVE,Hastings-Sunrise,496024.8443,5456786.596
Theft from Vehicle,2023,1,12,6,0,25XX E BROADWAY AVE,Hastings-Sunrise,496030.3308,5456589.6301
Theft from Vehicle,2023,6,24,1,0,25XX E HASTINGS ST,Hastings-Sunrise,496035.9454,5458709.3367
