TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2023,1,4,18,0,19XX SASAMAT ST,West Point Grey,484807.3606,5457443.2171
Theft from Vehicle,2023,5,10,12,0,19XX WALLACE ST,West Point Grey,486137.7571,5457436.7752
Theft from Vehicle,2023,2,20,23,0,20XX ALMA ST,West Point Grey,486484.4111,5457255.4503
Theft from Vehicle,2023,7,18,2,30,20XX HIGHBURY ST,West Point Grey,486353.9527,5457305.3113
Theft from Vehicle,2023,3,3,1,0,26XX CROWN ST,West Point Grey,485894.6588,5456706.4265
Theft from Vehicle,2023,2,3,21,0,28XX CROWN ST,West Point Grey,485890.749,5456574.4418
Theft from Vehicle,2023,6,4,18,0,37XX W 7TH AVE,West Point Grey,486391.9608,5457046.9512
Theft from Vehicle,2023,5,24,3,31,37XX W 7TH AVE,West Point Grey,486470.9023,5457055.3253
Theft from Vehicle,2023,5,31,2,0,37XX W 8TH AVE,West Point Grey,486361.3784,5456956.5913
Theft from Vehicle,2023,6,27,18,45,37XX W 8TH AVE,West Point Grey,486361.3784,5456956.5913
Theft from Vehicle,2023,6,27,22,0,37XX W 8TH AVE,West Point Grey,486361.3784,5456956.5913
Theft from Vehicle,2023,1,13,13,38,37XX W 8TH AVE,West Point Grey,486376.789,5456965.4968
Theft from Vehicle,2023,5,17,13,0,38XX POINT GREY RD,West Point Grey,486358.138,5457734.8689
Theft from Vehicle,2023,2,2,18,0,38XX W 11TH AVE,West Point Grey,486140.1211,5456672.5045
Theft from Vehicle,2023,1,13,20,0,38XX W 11TH AVE,West Point Grey,486325.9718,5456658.5318
Theft from Vehicle,2023,1,16,21,0,38XX W 12TH AVE,West Point Grey,486215.3638,5456573.0054
Theft from Vehicle,2023,7,16,0,0,38XX W 14TH AVE,West Point Grey,486117.9498,5456363.4521
Theft from Vehicle,2023,4,14,12,0,38XX W 8TH AVE,West Point Grey,486334.2302,5456957.0751
Theft from Vehicle,2023,4,13,20,45,38XX W BROADWAY AVE,West Point Grey,486297.0993,5456874.6661
Theft from Vehicle,2023,6,22,9,45,39XX POINT GREY RD,West Point Grey,486116.6778,5457633.8457
Theft from Vehicle,2023,1,17,2,30,39XX W 14TH AVE,West Point Grey,485937.8485,5456377.3918
Theft from Vehicle,2023,7,16,1,0,41XX CROWN CRES,West Point Grey,485491.211,5456925.2957
Theft from Vehicle,2023,1,16,21,30,41XX W 12TH AVE,West Point Grey,485472.9572,5456591.9565
Theft from Vehicle,2023,2,28,19,0,41XX W 13TH AVE,West Point Grey,485652.141,5456476.2679
Theft from Vehicle,2023,1,14,11,10,41XX W 16TH AVE,West Point Grey,485497.2796,5456185.1374
Theft from Vehicle,2023,4,19,15,0,41XX W 16TH AVE,West Point Grey,485530.7273,5456184.5101
Theft from Vehicle,2023,2,17,21,0,41XX W 8TH AVE,West Point Grey,485701.1174,5456970.0351
Theft from Vehicle,2023,6,10,19,30,42XX W 12TH AVE,West Point Grey,485239.2308,5456588.3307
Theft from Vehicle,2023,2,8,15,0,42XX W 12TH AVE,West Point Grey,485438.206,5456583.6075
Theft from Vehicle,2023,3,30,15,0,42XX W 9TH AVE,West Point Grey,485260.3306,5456886.9723
Theft from Vehicle,2023,1,10,21,0,43XX W 12TH AVE,West Point Grey,485149.1266,5456599.5893
Theft from Vehicle,2023,1,9,19,25,43XX W 2ND AVE,West Point Grey,485040.8383,5457641.6881
Theft from Vehicle,2023,7,16,11,30,43XX W 9TH AVE,West Point Grey,485062.8278,5456892.1908
Theft from Vehicle,2023,3,31,22,0,44XX W 14TH AVE,West Point Grey,484984.8175,5456392.9338
Theft from Vehicle,2023,1,21,12,0,44XX W 15TH AVE,West Point Grey,484953.1048,5456301.1369
Theft from Vehicle,2023,1,24,12,0,44XX W 15TH AVE,West Point Grey,484986.7503,5456291.0836
Theft from Vehicle,2023,2,28,16,0,44XX W 5TH AVE,West Point Grey,484904.3787,5457287.9747
Theft from Vehicle,2023,7,15,16,0,44XX W 7TH AVE,West Point Grey,485008.5857,5457086.5181
Theft from Vehicle,2023,5,1,2,0,45XX W 11TH AVE,West Point Grey,484701.1966,5456703.218
Theft from Vehicle,2023,4,4,10,0,45XX W 14TH AVE,West Point Grey,484768.4283,5456398.6473
Theft from Vehicle,2023,3,10,0,0,46XX W 10TH AVE,West Point Grey,484446.0338,5456811.1674
Theft from Vehicle,2023,6,26,17,0,46XX W 10TH AVE,West Point Grey,484538.0404,5456817.7938
Theft from Vehicle,2023,3,3,12,0,46XX W 7TH AVE,West Point Grey,484406.5747,5457111.1128
Theft from Vehicle,2023,2,27,17,30,46XX W 9TH AVE,West Point Grey,484523.466,5456915.8066
Theft from Vehicle,2023,2,6,21,0,47XX NW MARINE DR,West Point Grey,484307.3391,5458179.0801
Theft from Vehicle,2023,7,3,12,30,47XX NW MARINE DR,West Point Grey,484307.3391,5458179.0801
Theft from Vehicle,2023,5,9,11,0,HIGHBURY ST / W 4TH AVE,West Point Grey,486350.2957,5457336.1396
Theft from Vehicle,2023,6,27,21,0,HIGHBURY ST / W 8TH AVE,West Point Grey,486341.7984,5456961.4684
Theft from Vehicle,2023,6,4,17,0,SASAMAT ST / W 10TH AVE,West Point Grey,484785.3497,5456806.8898
Theft of Bicycle,2023,7,4,15,24,20XX HIGHBURY ST,West Point Grey,486353.9527,5457305.3113
Theft of Bicycle,2023,1,27,1,30,25XX HIGHBURY ST,West Point Grey,486341.007,5456809.1219
